instituicao,uf,populacao,conta,estagio,valor,ano
Prefeitura Municipal de Rio Branco - AC,AC,407319,18.542 - Controle Ambiental,EMPENHADO,2836807.75,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,18.544 - Recursos Hídricos,EMPENHADO,184966.43,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,18.122 - Administração Geral,EMPENHADO,5447719.82,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,19 - Ciência e Tecnologia,EMPENHADO,180583.83,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,19.572 - Desenvolvimento Tecnológico e Engenharia,EMPENHADO,180583.83,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,20 - Agricultura,EMPENHADO,8572242.08,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,20.605 - Abastecimento,EMPENHADO,2495012.69,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,20.606 - Extensão Rural,EMPENHADO,263422.21,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,20.122 - Administração Geral,EMPENHADO,5521839.52,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,23 - Comércio e Serviços,EMPENHADO,3982700.09,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,23.695 - Turismo,EMPENHADO,3982700.09,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,26 - Transporte,EMPENHADO,1.605990107E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,26.782 - Transporte Rodoviário,EMPENHADO,1123487.4,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,27 - Desporto e Lazer,EMPENHADO,60696.73,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,27.812 - Desporto Comunitário,EMPENHADO,55808.73,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,27.813 - Lazer,EMPENHADO,4888.0,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,28 - Encargos Especiais,EMPENHADO,2.060354889E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,28.843 - Serviço da Dívida Interna,EMPENHADO,2.060354889E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,01 - Legislativa,PAGO,2.82642168E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,01.031 - Ação Legislativa,PAGO,2.82642168E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,03 - Essencial à Justiça,PAGO,1.881854507E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,03.092 - Representação Judicial e Extrajudicial,PAGO,1.881854507E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,04 - Administração,PAGO,8.136004925E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,04.121 - Planejamento e Orçamento,PAGO,5082576.23,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,04.122 - Administração Geral,PAGO,5.079756618E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,04.123 - Administração Financeira,PAGO,1.885158708E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,04.124 - Controle Interno,PAGO,10642.0,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,04.125 - Normatização e Fiscalização,PAGO,821047.07,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,04.126 - Tecnologia da Informação,PAGO,2696493.9,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,04.131 - Comunicação Social,PAGO,3100136.79,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,06 - Segurança Pública,PAGO,3304806.91,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,06.181 - Policiamento,PAGO,2986384.34,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,06.182 - Defesa Civil,PAGO,318422.57,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,08 - Assistência Social,PAGO,2.197638065E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,08.243 - Assistência à Criança e ao Adolescente,PAGO,4740.54,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,08.244 - Assistência Comunitária,PAGO,2.165324011E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,09 - Previdência Social,PAGO,4.494848614E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,09.272 - Previdência do Regime Estatutário,PAGO,4.494848614E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,10 - Saúde,PAGO,1.3168636481E8,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,10.301 - Atenção Básica,PAGO,1.10504524E8,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,10.302 - Assistência Hospitalar e Ambulatorial,PAGO,3289359.1,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,10.303 - Suporte Profilático e Terapêutico,PAGO,3031878.96,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,10.305 - Vigilância Epidemiológica,PAGO,9840482.25,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,10.122 - Administração Geral,PAGO,5020120.5,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,11 - Trabalho,PAGO,2033196.29,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,11.334 - Fomento ao Trabalho,PAGO,2033196.29,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,12 - Educação,PAGO,1.5471041893E8,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,12.361 - Ensino Fundamental,PAGO,4.792377162E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,12.365 - Educação Infantil,PAGO,1.0678664731E8,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,13 - Cultura,PAGO,6713273.25,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,"13.391 - Patrimônio Histórico, Artístico e Arqueológico",PAGO,5000.0,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,13.392 - Difusão Cultural,PAGO,6708273.25,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,14 - Direitos da Cidadania,PAGO,795046.33,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,"14.422 - Direitos Individuais, Coletivos e Difusos",PAGO,795046.33,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,15 - Urbanismo,PAGO,2.6774418202E8,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,15.451 - Infraestrutura Urbana,PAGO,1.5476639012E8,2020
